zpid , street , zipcode , city , state , latitude , longitude , price , bedrooms , bathrooms , finishedSqFt , lotSizeSqFt , yearBuilt , yearUpdated , numFloors , view , parkingType , heatingSources , heatingSystem , rooms , neighborhood , schoolDistrict , homeDescription 
40000003,60 Montrose Ave,7023,FANWOOD,NJ,40.649677,-74.38907,NA,3,1.5,NA,10454,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beautifully maintained and landscaped home conveniently located close to schools, parks and NYC transportation.Many updates incl:newer windows,furnace,CAC,entry door,garage doors,corian countertops"
40000004,117 Pleasant Ave,7023,FANWOOD,NJ,40.6495,-74.388788,NA,4,2.5,1641,9583,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40000009,79 Pleasant Ave,7023,FANWOOD,NJ,40.648488,-74.38992,NA,4,2.5,1969,7501,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Totally renovated colonial, open floor plan, hardwood floors, sliders to 14x12 deck. 2nd floor laundry, master bdrm w/ walk in closet and bath, in walking distance to schools and Fanwood train station Just finishing final touches, deck being built, garage will be finished"
40000010,75 Pleasant Ave,7023,FANWOOD,NJ,40.648331,-74.390096,NA,3,2,1415,7405,1950,NA,2,NA,Garage - Attached,Gas,"Baseboard, Other","Office, Workshop, Family room, Laundry room",NA,NA,"NEW PRICE!!!!! POSSIBILITIES ARE ENDLESS FOR SETTING UP THIS CUTE AND COZY CAPE! NEWER FAMILY RM ADDITION W SLIDERS TO DECK OVERLKING FENCED IN YARD CAN BE USED AS DINING RM. CURRENT DINING RM CAN BE USED AS BEDRM.  NEW 1ST FLR BATH, EAT IN KIT W/SS APPL, FORMAL LIVING RM W/WOOD BURNING FIREPLACE, ENTRY FOYER W COAT CLOSET, FIN BSMT W/REC RM,LAUNDRY RM,WORKSHOP & UTIL RM. PLUS ACCESS TO BACKYARD. 2ND FLR OFFERS A LARGE BEDRM, 1/2 BATH, AND 9x7 SPACE FOR OFFICE/NURSERY/WALK IN CLOSET. NEWER WINDOWS, NEWER ROOF OVER FAM RM AND GARAGE, ERA HOME WARR INCLUDED IN SALE. SECONDS AWAY FROM FOREST ROAD PARK, SCHOOLS, AND DOWNTOWN SHOPPING. A QUICK WALK TO FANWOOD TRAIN STATION AS WELL."
40000012,61 Pleasant Ave,7023,FANWOOD,NJ,40.648016,-74.390447,NA,4,2,1356,7501,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charming Cape Cod Style home with an Oversized Garage in a Wonderful Neighborhood.  Freshly Painted, HWF throughout and newer windows.  Large basement with walk out - just waiting to be finished.  4 bedroom / 2 Full Baths.  Walk in Closet.  Plenty of closets and storage.  Close to Forest Road Park, downtown Scotch Plains.  Excellent Schools."
40000018,84 Pleasant Ave,7023,FANWOOD,NJ,40.648321,-74.38939,NA,3,2,1610,7405,1960,NA,1,NA,Garage - Attached,Gas,Forced air,Dining room,NA,NA,"Welcome home to this fabulous 1500 Sq Ft Henry West custom Ranch.   One floor living at its best.  Experience the Inviting floor plan with dramatic skylights in living room, kitchen and main bath. The home also features solid oak floors in the Living Room with Heatilator Fireplace, formal Dining Room, and Bedrooms.  Relax in the beautiful Family Room with floor-to-ceiling windows and custom treatments, included in the sale.  Eat-in Kitchen features granite countertops, SS  appliances, original wood cabinets and an Italian ceramic floor.  Finished basement. Beautifully landscaped with a collage of charming trees plus brick-paved walkways and patio with a charming pergola. Water activated sump pump, french drains, backup generator. Newer roof.  90% energy-efficient gas furnace & central air. Walk to schools."
40000022,47 Saint Johns Pl,7023,FANWOOD,NJ,40.647959,-74.388834,NA,4,2,1099,8712,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wonderful opportunity to restore this Cape Cod home to its prior glory! The location is ideal as it backs to Forest Road Park! Lots of projects for the weekend warrior! Presently there is no driveway access to the garage
,,,,,,,,,,,,,,,,,,,,,,
40000025,57 Woodland Ave,7023,FANWOOD,NJ,40.646639,-74.388248,NA,3,2,1289,6969,1925,2001,4,NA,Garage - Detached,Gas,Baseboard,"Family room, Pantry",NA,NA,"Charming traditional elements and modern conveniences are found throughout this magical Colonial home. Hardwood floors, Siberian pine wide-plank floors are throughout with natural wood framed windows,French and pocket doors and classic moldings adorn the sun lit rooms. The highlight of the first floor is the kitchen and dining area addition with granite counters, stainless steel appliances, tumbled marble backsplash, walk-in pantry, vaulted ceiling, laundry and powder room. The second floor has two good size bedrooms, a third perfect for nursery, office or large walk-in closet and an updated bath. Partially finished basement. Private yard and oversize garage completes this lovely home located close to Forest Park, schools, town and NJ Transit."
40000026,61 Woodland Ave,7023,FANWOOD,NJ,40.646854,-74.388186,NA,4,NA,1236,13939,1830,2012,2,Park,Off-street,Electric,Other,"Dining room, Family room, Mud room",NA,NA,Well kept home on beautiful quiet street backing up to Forest Rd park. Extra Deep lot. Walk to NYC train and bus.
40000028,75 Woodland Ave,7023,FANWOOD,NJ,40.647154,-74.387803,NA,5,4,3993,21052,2013,2013,2,Park,Garage - Attached,Gas,Forced air,"Dining room, Family room, Laundry room, Master bath, Mud room, Office, Pantry, Workshop, Walk-in closet",NA,NA,NA
40000029,81 Woodland Ave,7023,FANWOOD,NJ,40.647189,-74.387409,NA,4,3,1712,11848,1932,2008,2,NA,Garage - Detached,NA,NA,"Dining room, Family room, Master bath, Mud room",NA,NA,NA
40000031,99 Woodland Ave,7023,FANWOOD,NJ,40.647567,-74.386984,NA,3,2.5,1570,14810,1954,NA,NA,NA,Garage - Attached,Gas,Baseboard,NA,NA,NA,"Welcoming you with a light-hearted spirit, this sun-dappled Ranch offers an idyllic venue, surprising you at every turn. Hardwood floors, graceful archways, many windows and classic moldings mingle with thoughtful updates and upgrades. The eat-in kitchen offers granite counters, stainless appliances, powder room and a wonderful, recently constructed back foyer with sliders to the deck, garage and superb finished basement. Private spaces are generous and joined by two full baths. An unbelievably spacious, private backyard and a wonderful location ensure that this is the place you'll want to come home to."
40000032,19 Oakwood Ct,7023,FANWOOD,NJ,40.647915,-74.38707,NA,5,3,2800,16801,1951,NA,2,NA,Garage - Attached,NA,NA,NA,NA,NA,NA
