zpid 	 street 	 zipcode 	 city 	 state 	 latitude 	 longitude 	 price 	 bedrooms 	 bathrooms 	 finishedSqFt 	 lotSizeSqFt 	 yearBuilt 	 yearUpdated 	 numFloors 	 view 	 parkingType 	 heatingSources 	 heatingSystem 	 rooms 	 homeDescription 	 neighborhood 	 schoolDistrict 
40001004	477 South Ave	07023	FANWOOD	NJ	40.645454	-74.373108	NA	3	1.5	1372	10498	1960	NA	NA	NA	NA	NA	NA	NA	NA	NA	Conveniently located near schools and transportation to NYC, this impeccably maintained Fanwood beauty features fully renovated kitchen and bathrooms, hardwood floors throughout, and  open floorplan with large rooms and high ceilings. Newer appliances included in rental plus basement storage/laundry area.  Private yard with patio, attached garage PLUS room for 3 more cars in oversized driveway. No smoking.
40001008	14 N Martine Ave	07023	FANWOOD	NJ	40.641963	-74.385106	NA	3	2.0	1243	13524	1930	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wonderful custom home located steps from the train and town. CAC, Family room TV is included in the sale. This property has a fabulous dining room for entertaining. Beautiful built in bookcases and gleaming hardwood and parquet floors. Charming kitchen with built in seating and pantry. Living room with fireplace and cozy den. The private Master bedroom has a bath and walk in closet and plenty of storage space. All new windows. A meticulously maintained home. Park-like backyard with mature plantings and shed. The deck runs the length of the back of the home and includes a hot tub. The walk out basement has a laundry area, storage room and is currently being used as a workshop. One car built in garage. CAC.
40001009	288 North Ave	07023	FANWOOD	NJ	40.642334	-74.384623	NA	3	3.0	1906	20665	1926	2015	2	NA	Garage - Detached, Off-street	NA	NA	NA	NA	NA	NA
40001015	340 North Ave	07023	FANWOOD	NJ	40.643198	-74.382613	NA	4	3.0	1656	6411	1935	2004	2	NA	Garage - Attached	NA	NA	NA	NA	NA	4 bedroom colonial cape. 
40001016	350 North Ave	07023	FANWOOD	NJ	40.64329	-74.382344	NA	2	1.0	NA	17000	1907	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wonderful 2nd floor unit, renovated in 2008,near train and buses.Owner occup.3 family.Landlord will do repairs as needed.If tenant is neglectful, then repairs on tenant.Land/ten split commission. Available Sept.1,2015
40001018	364 North Ave	07023	FANWOOD	NJ	40.643771	-74.381885	NA	3	2.0	2852	18480	1956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40001020	380 North Ave	07023	FANWOOD	NJ	40.644273	-74.380967	NA	5	5.0	3000	64408	1932	2018	3	NA	Garage - Attached, Garage - Detached, Off-street, On-street	NA	NA	Dining room, Family room, Laundry room, Master bath, Office, Recreation room, Workshop, Sun room	NA	NA	5 bedroom 2 1/2 story Greek colonial with remodeled great room, cedar shakes, under house garage, separate 2 story carriage house, off-street parking for 6 cars, rooftop solar panels, back patio, sunroom, den, oak hardwood floors, recently remodeled, professionally landscaped.
40001022	390 North Ave	07023	FANWOOD	NJ	40.644684	-74.379999	NA	3	2.0	NA	12150	NA	NA	1	NA	NA	NA	NA	Dining room, Family room, Laundry room	NA	NA	NA
40001024	398 North Ave	07023	FANWOOD	NJ	40.644903	-74.37959	NA	3	2.0	NA	3267000	1962	NA	NA	NA	NA	NA	NA	NA	NA	NA	Completely remodeled Remodeled Split featuring 3 brs, 1.5 baths, Living Rm, Dining Rm &amp; Kitchen. 1 car garage. Commuter's delight walk to train and buses! $395,000
40001027	412 North Ave	07023	FANWOOD	NJ	40.645192	-74.378765	NA	5	3.0	2466	16800	1952	2007	3	NA	Garage - Attached	Gas	Forced air	Dining room, Family room, Laundry room, Mud room, Office, Recreation room	NA	NA	Move right into this updated and well maintained Split-Level home. The floor plan is an ideal layout for entertaining, while being spacious and comfortable. This distinctive home features a living room with cathedral ceiling and fireplace opening to a formal dining room w/ access to the deck and backyard. The kitchen has maple wood cabinetry and a breakfast bar. A master bedroom, 4 additional bedrooms, 2 full baths, a family room, powder room, laundry room, basement, 2 zone AC/Heat, oversized sheds, an above ground pool and an attached garage complete this perfect home. Convenient to schools, town, shopping, parks and NYC transportation. Make this perfect home, your new home today!
